S.No,e-publish Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Reference Link
405.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Procurement of Endoscopic sinus surgery instrument set with light source, camera and recording system]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_30]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SpthwoR6tSs2laXk%2Betf9WQ%3D%3D
406.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Flexible High Definition/High resolution Video]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_31],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SW9ynmnEdm28zNR4n%2FZiE%2Bg%3D%3D
407.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Flexible High Definition/High resolution Video Bronchoscope with monitor and recording facility for pediatric]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_32],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sn6IaTUtiO8WlUSK1foHycA%3D%3D
408.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Automated System for mycobacterium culture and sensitivity testing]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_33],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S3%2Br2kcT6bjxledyM2tK9Zg%3D%3D
409.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Full Endoscopic lumbar IT and ED set]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_34],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SiGF3kpDMgCqIZY1Ts3ViIw%3D%3D
410.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of IPL (Intense Pulse Light System)]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_35],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SpEgTznacs9x3wQo2GOio%2BQ%3D%3D
411.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Procurement of Endoscopic sinus surgery instrument set with light source, camera and recording system]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_30]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SpthwoR6tSs2laXk%2Betf9WQ%3D%3D
412.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Flexible High Definition/High resolution Video]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_31],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SW9ynmnEdm28zNR4n%2FZiE%2Bg%3D%3D
413.,21-Aug-2023 05:00 PM.,18-Sep-2023 05:00 PM,19-Sep-2023 05:00 PM,[Hiring of Vehicles on monthly basis for Project Implementation Unit Srinagar]  [ PD/SGR/14001/2014/Gen/Call-1][2023_NHAI_165141_1],National Highways Authority of India||RO-Jammu - NHAI||Srinagar - NHAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SuqgMnOr%2BKW5f7OFN%2FTyBtQ%3D%3D
414.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Flexible High Definition/High resolution Video Bronchoscope with monitor and recording facility for pediatric]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_32],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sn6IaTUtiO8WlUSK1foHycA%3D%3D
415.,31-Mar-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of Fully Automated IHC Stainer]  [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_3]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=ScAGgIdyY9o4GTEvXnAJsaA%3D%3D
416.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Automated System for mycobacterium culture and sensitivity testing]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_33],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S3%2Br2kcT6bjxledyM2tK9Zg%3D%3D
417.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Full Endoscopic lumbar IT and ED set]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_34],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SiGF3kpDMgCqIZY1Ts3ViIw%3D%3D
418.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of IPL (Intense Pulse Light System)]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_35],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SpEgTznacs9x3wQo2GOio%2BQ%3D%3D
419.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Rotational Thromboelastometry ]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_36],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SsQZrXb%2FgG%2BPCC6Y3i9eTnw%3D%3D
420.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Pediatric Rigid Bronchoscope and Oesophagoscope]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_37],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sc6irfBCB%2FdVby1gLa8rSfQ%3D%3D
421.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of ECHO and USG Machine]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_6],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S86PWxMdZmscyNwOMYuMUhA%3D%3D
422.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Pediatric Rigid Bronchoscope and Oesophagoscope]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_24],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SslLcU1ZglzkYu2LclVK6fA%3D%3D
423.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Fully Automated Rotary Microtome with]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_7],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SGX1HEDMbwGkRxbcxglIMrg%3D%3D
424.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Paediatric Bronchoscope set]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_8],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S%2BzFHZc0Whmji04tmV2PT4g%3D%3D
425.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Paediatric cystoscope and resectoscope]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_9],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SHMIzUrZXgiNr3K%2B9YxgBzA%3D%3D
426.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Endoscopic washer and disinfector system]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_25],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sy%2BgXqktA1kyC6yYO6qA59w%3D%3D
427.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Paediatric laparoscopy set]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_10],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SEcOp7IDfkfueKU1geMM30w%3D%3D
428.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Electrical drill and reamer set]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_26],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SWDyste8idKYe%2FI7WMXWT0A%3D%3D
429.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Antibiotic Zone Reader]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_11],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S8LSElYefWLo77eLFS%2FiNGw%3D%3D
430.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of ATLS Practising Manikin]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_12],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SuxhcbACmsvkRSZFVgu9Apw%3D%3D
431.,21-Aug-2023 10:00 AM.,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,"[Supply of Material-Supply of Bitumen premix bag for day to day repair and maintenance of roads and lanes under the jurisdiction of 71, M-I CSPZ.-General Civil Work]  [EE/M-I/CSPZ/TC/ 2023-24/12-02][2023_MCD_165080_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S3PELWAnfjexM3aHriS5%2BZw%3D%3D
432.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Endoscopic washer and disinfector system]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_25],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sy%2BgXqktA1kyC6yYO6qA59w%3D%3D
433.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Electrical drill and reamer set]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_26],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SWDyste8idKYe%2FI7WMXWT0A%3D%3D
434.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Point of Care device (Cardiac Biomarker)]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_27],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SbFMrZKD3rUQRorCpDtXSZA%3D%3D
435.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of HPLC based automated analyzer for HbA1C testing ]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_28],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SqkJn%2B50Iz3FtmlnOOTVidQ%3D%3D
436.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Super Microsurgery system]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_29],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Su1F7UnKqn8Y%2BKSZwkx%2B00w%3D%3D
437.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Procurement of Endoscopic sinus surgery instrument set with light source, camera and recording system]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_30]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SpthwoR6tSs2laXk%2Betf9WQ%3D%3D
438.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Flexible High Definition/High resolution Video]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_31],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SW9ynmnEdm28zNR4n%2FZiE%2Bg%3D%3D
439.,19-Aug-2023 06:00 PM.,05-Sep-2023 03:00 PM,06-Sep-2023 03:00 PM,[Supply of Ink for Videojet Large Character Inkjet Printer]  [HBL/TEN/PUB/23-24/182 ][2023_HPCLB_165092_1],HPCL Biofuels Limited||Purchase (Patna),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S10a8P9DnZtQhLP9P15aNcg%3D%3D
440.,01-Apr-2023 06:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Flexible High Definition/High resolution Video Bronchoscope with monitor and recording facility for pediatric]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_32],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sn6IaTUtiO8WlUSK1foHycA%3D%3D
441.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Fully Automated Rotary Microtome with]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_7],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SGX1HEDMbwGkRxbcxglIMrg%3D%3D
442.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Paediatric Bronchoscope set]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_8],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S%2BzFHZc0Whmji04tmV2PT4g%3D%3D
443.,21-Aug-2023 04:00 PM.,28-Aug-2023 04:00 PM,29-Aug-2023 04:00 PM,[AMC of plant growth chamber]  [08(07)/2023-P][2023_CSIR_165150_1],Council of Scientific and Industrial Research||IIIM-Jammu - CSIR||Purchase-IIIM - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S6nskHzlkfpOlM9VbEdcqKw%3D%3D
444.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Paediatric cystoscope and resectoscope]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_9],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SHMIzUrZXgiNr3K%2B9YxgBzA%3D%3D
445.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Paediatric laparoscopy set]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_10],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SEcOp7IDfkfueKU1geMM30w%3D%3D
446.,21-Aug-2023 05:00 PM.,23-Sep-2023 01:00 PM,25-Sep-2023 02:30 PM,[PUR/IICT/DMS/398/23-24]  [PUR/IICT/DMS/398/23-24][2023_CSIR_165166_1],Council of Scientific and Industrial Research||IICT-Hyderabad - CSIR||Purchase-IICT - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=ScpTZfgCedPh0fk7psagA%2BQ%3D%3D
447.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Antibiotic Zone Reader]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_11],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S8LSElYefWLo77eLFS%2FiNGw%3D%3D
448.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of ATLS Practising Manikin]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_12],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SuxhcbACmsvkRSZFVgu9Apw%3D%3D
449.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Body Plethysmograph with Diffusion Study]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_15],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Su1OZe%2F%2Ff%2FT3u0fOQ3vZZZQ%3D%3D
450.,21-Aug-2023 06:30 PM.,04-Sep-2023 03:00 PM,05-Sep-2023 03:00 PM,[NCRTC/EOT Crane/OT/106]  [NCRTC/EOT Crane/OT/106][2023_IRCON_165163_1],IRCON International Limited||Corporate Head Quarters-New Delhi - IRCON||Electrical - IRCON,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SeorZxG0gLIiCwbppyw1yag%3D%3D
451.,21-Aug-2023 06:00 PM.,31-Aug-2023 06:00 PM,04-Sep-2023 10:00 AM,[PUR/SEC/119/23 SPIN COATING UNIT]  [PUR/SEC/119/23][2023_CSIR_165197_1],Council of Scientific and Industrial Research||NIIST-Thiruvanthapuram - CSIR||Purchase-NIIST - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S2tfuUcISx9%2BsJ6vFy0BUkg%3D%3D
452.,22-Aug-2023 10:00 AM.,11-Sep-2023 06:00 PM,13-Sep-2023 02:00 PM,"[02 / 2023-24 / IMR/DC/Marine Wing/F. 287, Dt. 21.08.2023]  [02 / 2023-24 / IMR/DC/Marine Wing/F. 287, Dt. 21.][2023_VPT_165211_1]",Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Mech. and Elec. Engineering - VPT,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Srij9DWTWw12MOcTb2Cdmdw%3D%3D
453.,01-Apr-2023 02:00 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Automated continuous monitoring standalone]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_14],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S9Ctwtg%2F0IK7%2BaJQEjFHe5A%3D%3D
454.,31-Mar-2023 06:30 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of Single Chamber Temporary Pacemaker]  [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_11]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S%2B%2BIkCJGsgn3pf1J4bEtuNA%3D%3D
455.,31-Mar-2023 06:25 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Integrated Automated Charting System upgradable for ICU Monitoring Systems]  [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_2],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Szv2GC%2BQ907j8Dds0ScAyfw%3D%3D
456.,21-Aug-2023 06:00 PM.,28-Aug-2023 02:30 PM,29-Aug-2023 03:00 PM,[AMC for Water filtrarion unit and Prefiltration unit Millipore Model No. SUREPROIN Sr. No. 8M2NA1715C]  [CDRI/2023/IND71900][2023_CSIR_165196_1],Council of Scientific and Industrial Research||CDRI-Lucknow - CSIR||Purchase-CDRI - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S4HZRlmIrDfvFlqAFJ3gYQw%3D%3D
457.,31-Mar-2023 06:30 PM.,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of Air Particle Counter]  [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_12]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SqhzI%2F4%2By5xKcsxhpH3pHaQ%3D%3D
